Season	Episodes	First	Last
1	10	April 17, 2011	June 19, 2011
2	10	April 1, 2012	June 3, 2012
3	10	March 31, 2013	June 9, 2013
4	10	April 6, 2014	June 15, 2014
5	10	April 12, 2015	June 14, 2015
6	10	April 24, 2016	June 26, 2016
7	7	July 16, 2017	August 27, 2017
8	6	April 14, 2019	May 19, 2019
