Season	Episodes	First	Last
1	6	March 24, 2005	April 26, 2005
2	22	September 20, 2005	May 11, 2006
3	23	September 21, 2006	May 17, 2007
4	14	September 27, 2007	May 15, 2008
5	26	September 25, 2008	May 14, 2009
6	26	September 17, 2009	May 20, 2010
7	24	September 23, 2010	May 19, 2011
8	24	September 22, 2011	May 10, 2012
9	23	September 20, 2012	May 16, 2013
